Segment;Region; Product ; Discount Band ;  Units Sold  ; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ;   Sales  ;  COGS  ;  Profit  ;Date;Month Number; Month Name ;Year
Channel Partners;West Java; Loan ; None ;  $367.00  ; $10.00 ; $12.00 ; $4,404.00 ; $-   ;  $4,404.00  ;  $1,101.00  ;  $3,303.00  ;07/01/2019;7; July ;2019
Government;Yogyakarta; Loan ; None ;  $883.00  ; $10.00 ; $7.00 ; $6,181.00 ; $-   ;  $6,181.00  ;  $4,415.00  ;  $1,766.00  ;08/01/2019;8; August ;2019
Midmarket;Jakarta; Loan ; None ;  $549.00  ; $10.00 ; $15.00 ; $8,235.00 ; $-   ;  $8,235.00  ;  $5,490.00  ;  $2,745.00  ;09/01/2013;9; September ;2013
Small Business;Yogyakarta; Loan ; None ;  $788.00  ; $10.00 ; $300.00 ; $236,400.00 ; $-   ;  $236,400.00  ;  $197,000.00  ;  $39,400.00  ;09/01/2013;9; September ;2013
Midmarket;Yogyakarta; Loan ; None ;  $2,472.00  ; $10.00 ; $15.00 ; $37,080.00 ; $-   ;  $37,080.00  ;  $24,720.00  ;  $12,360.00  ;09/01/2019;9; September ;2019
Government;East Java; Loan ; None ;  $1,143.00  ; $10.00 ; $7.00 ; $8,001.00 ; $-   ;  $8,001.00  ;  $5,715.00  ;  $2,286.00  ;10/01/2019;10; October ;2019
Government;Banten; Loan ; None ;  $1,725.00  ; $10.00 ; $350.00 ; $603,750.00 ; $-   ;  $603,750.00  ;  $448,500.00  ;  $155,250.00  ;11/01/2013;11; November ;2013
Channel Partners;East Java; Loan ; None ;  $912.00  ; $10.00 ; $12.00 ; $10,944.00 ; $-   ;  $10,944.00  ;  $2,736.00  ;  $8,208.00  ;11/01/2013;11; November ;2013
Midmarket;Banten; Loan ; None ;  $2,152.00  ; $10.00 ; $15.00 ; $32,280.00 ; $-   ;  $32,280.00  ;  $21,520.00  ;  $10,760.00  ;12/01/2013;12; December ;2013
Government;Banten; Loan ; None ;  $1,817.00  ; $10.00 ; $20.00 ; $36,340.00 ; $-   ;  $36,340.00  ;  $18,170.00  ;  $18,170.00  ;12/01/2019;12; December ;2019
Government;West Java; Loan ; None ;  $1,513.00  ; $10.00 ; $350.00 ; $529,550.00 ; $-   ;  $529,550.00  ;  $393,380.00  ;  $136,170.00  ;12/01/2019;12; December ;2019
Government;Yogyakarta; Fashion ; None ;  $1,493.00  ; $120.00 ; $7.00 ; $10,451.00 ; $-   ;  $10,451.00  ;  $7,465.00  ;  $2,986.00  ;01/01/2019;1; January ;2019
Channel Partners;West Java; Fashion ; None ;  $2,161.00  ; $120.00 ; $12.00 ; $25,932.00 ; $-   ;  $25,932.00  ;  $6,483.00  ;  $19,449.00  ;03/01/2019;3; March ;2019
Government;West Java; Fashion ; None ;  $1,006.00  ; $120.00 ; $350.00 ; $352,100.00 ; $-   ;  $352,100.00  ;  $261,560.00  ;  $90,540.00  ;06/01/2019;6; June ;2019
Channel Partners;West Java; Fashion ; None ;  $1,545.00  ; $120.00 ; $12.00 ; $18,540.00 ; $-   ;  $18,540.00  ;  $4,635.00  ;  $13,905.00  ;06/01/2019;6; June ;2019
Small Business;Banten; Cloud Computing ; None ;  $2,001.00  ; $250.00 ; $300.00 ; $600,300.00 ; $-   ;  $600,300.00  ;  $500,250.00  ;  $100,050.00  ;02/01/2019;2; February ;2019
Channel Partners;West Java; Cloud Computing ; None ;  $2,838.00  ; $250.00 ; $12.00 ; $34,056.00 ; $-   ;  $34,056.00  ;  $8,514.00  ;  $25,542.00  ;04/01/2019;4; April ;2019
Midmarket;Jakarta; Cloud Computing ; None ;  $2,178.00  ; $250.00 ; $15.00 ; $32,670.00 ; $-   ;  $32,670.00  ;  $21,780.00  ;  $10,890.00  ;06/01/2019;6; June ;2019
Midmarket;West Java; Cloud Computing ; None ;  $888.00  ; $250.00 ; $15.00 ; $13,320.00 ; $-   ;  $13,320.00  ;  $8,880.00  ;  $4,440.00  ;06/01/2019;6; June ;2019
Government;Jakarta; Cloud Computing ; None ;  $1,527.00  ; $250.00 ; $350.00 ; $534,450.00 ; $-   ;  $534,450.00  ;  $397,020.00  ;  $137,430.00  ;09/01/2013;9; September ;2013
Small Business;Jakarta; Cloud Computing ; None ;  $2,151.00  ; $250.00 ; $300.00 ; $645,300.00 ; $-   ;  $645,300.00  ;  $537,750.00  ;  $107,550.00  ;09/01/2019;9; September ;2019
Government;Banten; Cloud Computing ; None ;  $1,817.00  ; $250.00 ; $20.00 ; $36,340.00 ; $-   ;  $36,340.00  ;  $18,170.00  ;  $18,170.00  ;12/01/2019;12; December ;2019
Government;Jakarta; Project Management  ; None ;  $2,750.00  ; $260.00 ; $350.00 ; $962,500.00 ; $-   ;  $962,500.00  ;  $715,000.00  ;  $247,500.00  ;02/01/2019;2; February ;2019
Channel Partners;East Java; Project Management  ; None ;  $1,953.00  ; $260.00 ; $12.00 ; $23,436.00 ; $-   ;  $23,436.00  ;  $5,859.00  ;  $17,577.00  ;04/01/2019;4; April ;2019
Government;Jakarta; Project Management  ; None ;  $1,899.00  ; $260.00 ; $20.00 ; $37,980.00 ; $-   ;  $37,980.00  ;  $18,990.00  ;  $18,990.00  ;06/01/2019;6; June ;2019
Government;West Java; Project Management  ; None ;  $1,686.00  ; $260.00 ; $7.00 ; $11,802.00 ; $-   ;  $11,802.00  ;  $8,430.00  ;  $3,372.00  ;07/01/2019;7; July ;2019
Channel Partners;East Java; Project Management  ; None ;  $2,141.00  ; $260.00 ; $12.00 ; $25,692.00 ; $-   ;  $25,692.00  ;  $6,423.00  ;  $19,269.00  ;08/01/2019;8; August ;2019
Government;East Java; Project Management  ; None ;  $1,143.00  ; $260.00 ; $7.00 ; $8,001.00 ; $-   ;  $8,001.00  ;  $5,715.00  ;  $2,286.00  ;10/01/2019;10; October ;2019
Midmarket;East Java; Project Management  ; None ;  $615.00  ; $260.00 ; $15.00 ; $9,225.00 ; $-   ;  $9,225.00  ;  $6,150.00  ;  $3,075.00  ;12/01/2019;12; December ;2019
Government;Jakarta; Loan ; Low ;  $3,945.00  ; $10.00 ; $7.00 ; $27,615.00 ; $276.15 ;  $27,338.85  ;  $19,725.00  ;  $7,613.85  ;01/01/2019;1; January ;2019
Midmarket;Jakarta; Loan ; Low ;  $2,296.00  ; $10.00 ; $15.00 ; $34,440.00 ; $344.40 ;  $34,095.60  ;  $22,960.00  ;  $11,135.60  ;02/01/2019;2; February ;2019
Government;Jakarta; Loan ; Low ;  $1,030.00  ; $10.00 ; $7.00 ; $7,210.00 ; $72.10 ;  $7,137.90  ;  $5,150.00  ;  $1,987.90  ;05/01/2019;5; May ;2019
Government;Jakarta; Fashion ; Low ;  $639.00  ; $120.00 ; $7.00 ; $4,473.00 ; $44.73 ;  $4,428.27  ;  $3,195.00  ;  $1,233.27  ;11/01/2019;11; November ;2019
Government;Banten; Cloud Computing ; Low ;  $1,326.00  ; $250.00 ; $7.00 ; $9,282.00 ; $92.82 ;  $9,189.18  ;  $6,630.00  ;  $2,559.18  ;03/01/2019;3; March ;2019
Channel Partners;East Java; Training ; Low ;  $1,858.00  ; $3.00 ; $12.00 ; $22,296.00 ; $222.96 ;  $22,073.04  ;  $5,574.00  ;  $16,499.04  ;02/01/2019;2; February ;2019
Government;Yogyakarta; Training ; Low ;  $1,210.00  ; $3.00 ; $350.00 ; $423,500.00 ; $4,235.00 ;  $419,265.00  ;  $314,600.00  ;  $104,665.00  ;03/01/2019;3; March ;2019
Government;East Java; Training ; Low ;  $2,529.00  ; $3.00 ; $7.00 ; $17,703.00 ; $177.03 ;  $17,525.97  ;  $12,645.00  ;  $4,880.97  ;07/01/2019;7; July ;2019
Channel Partners;Banten; Training ; Low ;  $1,445.00  ; $3.00 ; $12.00 ; $17,340.00 ; $173.40 ;  $17,166.60  ;  $4,335.00  ;  $12,831.60  ;09/01/2019;9; September ;2019
Channel Partners;Jakarta; Training ; Low ;  $2,671.00  ; $3.00 ; $12.00 ; $32,052.00 ; $320.52 ;  $31,731.48  ;  $8,013.00  ;  $23,718.48  ;09/01/2019;9; September ;2019
Channel Partners;West Java; Training ; Low ;  $766.00  ; $3.00 ; $12.00 ; $9,192.00 ; $91.92 ;  $9,100.08  ;  $2,298.00  ;  $6,802.08  ;10/01/2013;10; October ;2013
Small Business;Yogyakarta; Training ; Low ;  $494.00  ; $3.00 ; $300.00 ; $148,200.00 ; $1,482.00 ;  $146,718.00  ;  $123,500.00  ;  $23,218.00  ;10/01/2013;10; October ;2013
Government;Yogyakarta; Training ; Low ;  $1,397.00  ; $3.00 ; $350.00 ; $488,950.00 ; $4,889.50 ;  $484,060.50  ;  $363,220.00  ;  $120,840.50  ;10/01/2019;10; October ;2019
Government;Jakarta; Training ; Low ;  $2,155.00  ; $3.00 ; $350.00 ; $754,250.00 ; $7,542.50 ;  $746,707.50  ;  $560,300.00  ;  $186,407.50  ;12/01/2019;12; December ;2019
Midmarket;Yogyakarta; Education ; Low ;  $2,214.00  ; $5.00 ; $15.00 ; $33,210.00 ; $332.10 ;  $32,877.90  ;  $22,140.00  ;  $10,737.90  ;03/01/2019;3; March ;2019
Small Business;East Java; Education ; Low ;  $2,301.00  ; $5.00 ; $300.00 ; $690,300.00 ; $6,903.00 ;  $683,397.00  ;  $575,250.00  ;  $108,147.00  ;04/01/2019;4; April ;2019
Government;Jakarta; Education ; Low ;  $1,375.50  ; $5.00 ; $20.00 ; $27,510.00 ; $275.10 ;  $27,234.90  ;  $13,755.00  ;  $13,479.90  ;07/01/2019;7; July ;2019
Government;Banten; Education ; Low ;  $1,830.00  ; $5.00 ; $7.00 ; $12,810.00 ; $128.10 ;  $12,681.90  ;  $9,150.00  ;  $3,531.90  ;08/01/2019;8; August ;2019
Small Business;East Java; Education ; Low ;  $2,498.00  ; $5.00 ; $300.00 ; $749,400.00 ; $7,494.00 ;  $741,906.00  ;  $624,500.00  ;  $117,406.00  ;09/01/2013;9; September ;2013
Midmarket;East Java; Loan ; Low ;  $1,514.00  ; $10.00 ; $15.00 ; $22,710.00 ; $227.10 ;  $22,482.90  ;  $15,140.00  ;  $7,342.90  ;02/01/2019;2; February ;2019
Government;East Java; Loan ; Low ;  $4,492.50  ; $10.00 ; $7.00 ; $31,447.50 ; $314.48 ;  $31,133.02  ;  $22,462.50  ;  $8,670.52  ;04/01/2019;4; April ;2019
Midmarket;West Java; Loan ; Low ;  $747.00  ; $10.00 ; $15.00 ; $11,205.00 ; $112.05 ;  $11,092.95  ;  $7,470.00  ;  $3,622.95  ;09/01/2019;9; September ;2019
Channel Partners;West Java; Loan ; Low ;  $766.00  ; $10.00 ; $12.00 ; $9,192.00 ; $91.92 ;  $9,100.08  ;  $2,298.00  ;  $6,802.08  ;10/01/2013;10; October ;2013
Small Business;East Java; Loan ; Low ;  $2,905.00  ; $10.00 ; $300.00 ; $871,500.00 ; $8,715.00 ;  $862,785.00  ;  $726,250.00  ;  $136,535.00  ;11/01/2019;11; November ;2019
Government;Jakarta; Loan ; Low ;  $2,155.00  ; $10.00 ; $350.00 ; $754,250.00 ; $7,542.50 ;  $746,707.50  ;  $560,300.00  ;  $186,407.50  ;12/01/2019;12; December ;2019
Government;Jakarta; Fashion ; Low ;  $3,864.00  ; $120.00 ; $20.00 ; $77,280.00 ; $772.80 ;  $76,507.20  ;  $38,640.00  ;  $37,867.20  ;04/01/2019;4; April ;2019
Government;Yogyakarta; Fashion ; Low ;  $362.00  ; $120.00 ; $7.00 ; $2,534.00 ; $25.34 ;  $2,508.66  ;  $1,810.00  ;  $698.66  ;05/01/2019;5; May ;2019
Government;Banten; Fashion ; Low ;  $2,092.00  ; $120.00 ; $7.00 ; $14,644.00 ; $146.44 ;  $14,497.56  ;  $10,460.00  ;  $4,037.56  ;11/01/2013;11; November ;2013
Government;West Java; Cloud Computing ; Low ;  $263.00  ; $250.00 ; $7.00 ; $1,841.00 ; $18.41 ;  $1,822.59  ;  $1,315.00  ;  $507.59  ;03/01/2019;3; March ;2019
Government;Banten; Cloud Computing ; Low ;  $943.50  ; $250.00 ; $350.00 ; $330,225.00 ; $3,302.25 ;  $326,922.75  ;  $245,310.00  ;  $81,612.75  ;04/01/2019;4; April ;2019
Small Business;West Java; Cloud Computing ; Low ;  $986.00  ; $250.00 ; $300.00 ; $295,800.00 ; $2,958.00 ;  $292,842.00  ;  $246,500.00  ;  $46,342.00  ;09/01/2019;9; September ;2019
Small Business;Yogyakarta; Cloud Computing ; Low ;  $494.00  ; $250.00 ; $300.00 ; $148,200.00 ; $1,482.00 ;  $146,718.00  ;  $123,500.00  ;  $23,218.00  ;10/01/2013;10; October ;2013
Government;Yogyakarta; Cloud Computing ; Low ;  $1,397.00  ; $250.00 ; $350.00 ; $488,950.00 ; $4,889.50 ;  $484,060.50  ;  $363,220.00  ;  $120,840.50  ;10/01/2019;10; October ;2019
Channel Partners;East Java; Project Management  ; Low ;  $1,989.00  ; $260.00 ; $12.00 ; $23,868.00 ; $238.68 ;  $23,629.32  ;  $5,967.00  ;  $17,662.32  ;09/01/2013;9; September ;2013
Midmarket;Jakarta; Project Management  ; Low ;  $321.00  ; $260.00 ; $15.00 ; $4,815.00 ; $48.15 ;  $4,766.85  ;  $3,210.00  ;  $1,556.85  ;11/01/2013;11; November ;2013
Channel Partners;Banten; Training ; Low ;  $1,295.00  ; $3.00 ; $12.00 ; $15,540.00 ; $310.80 ;  $15,229.20  ;  $3,885.00  ;  $11,344.20  ;10/01/2019;10; October ;2019
Small Business;West Java; Training ; Low ;  $214.00  ; $3.00 ; $300.00 ; $64,200.00 ; $1,284.00 ;  $62,916.00  ;  $53,500.00  ;  $9,416.00  ;10/01/2013;10; October ;2013
Government;Jakarta; Training ; Low ;  $2,145.00  ; $3.00 ; $7.00 ; $15,015.00 ; $300.30 ;  $14,714.70  ;  $10,725.00  ;  $3,989.70  ;11/01/2013;11; November ;2013
Government;Banten; Training ; Low ;  $2,852.00  ; $3.00 ; $350.00 ; $998,200.00 ; $19,964.00 ;  $978,236.00  ;  $741,520.00  ;  $236,716.00  ;12/01/2019;12; December ;2019
Channel Partners;East Java; Education ; Low ;  $1,142.00  ; $5.00 ; $12.00 ; $13,704.00 ; $274.08 ;  $13,429.92  ;  $3,426.00  ;  $10,003.92  ;06/01/2019;6; June ;2019
Government;East Java; Education ; Low ;  $1,566.00  ; $5.00 ; $20.00 ; $31,320.00 ; $626.40 ;  $30,693.60  ;  $15,660.00  ;  $15,033.60  ;10/01/2019;10; October ;2019
Channel Partners;Yogyakarta; Education ; Low ;  $690.00  ; $5.00 ; $12.00 ; $8,280.00 ; $165.60 ;  $8,114.40  ;  $2,070.00  ;  $6,044.40  ;11/01/2019;11; November ;2019
Midmarket;Banten; Loan ; Low ;  $2,363.00  ; $10.00 ; $15.00 ; $35,445.00 ; $708.90 ;  $34,736.10  ;  $23,630.00  ;  $11,106.10  ;02/01/2019;2; February ;2019
Small Business;Jakarta; Loan ; Low ;  $918.00  ; $10.00 ; $300.00 ; $275,400.00 ; $5,508.00 ;  $269,892.00  ;  $229,500.00  ;  $40,392.00  ;05/01/2019;5; May ;2019
Small Business;West Java; Loan ; Low ;  $1,728.00  ; $10.00 ; $300.00 ; $518,400.00 ; $10,368.00 ;  $508,032.00  ;  $432,000.00  ;  $76,032.00  ;05/01/2019;5; May ;2019
Channel Partners;East Java; Loan ; Low ;  $1,142.00  ; $10.00 ; $12.00 ; $13,704.00 ; $274.08 ;  $13,429.92  ;  $3,426.00  ;  $10,003.92  ;06/01/2019;6; June ;2019
Channel Partners;Banten; Loan ; Low ;  $1,295.00  ; $10.00 ; $12.00 ; $15,540.00 ; $310.80 ;  $15,229.20  ;  $3,885.00  ;  $11,344.20  ;10/01/2019;10; October ;2019
Channel Partners;Jakarta; Loan ; Low ;  $1,785.00  ; $10.00 ; $12.00 ; $21,420.00 ; $428.40 ;  $20,991.60  ;  $5,355.00  ;  $15,636.60  ;11/01/2013;11; November ;2013
Small Business;Banten; Loan ; Low ;  $1,916.00  ; $10.00 ; $300.00 ; $574,800.00 ; $11,496.00 ;  $563,304.00  ;  $479,000.00  ;  $84,304.00  ;12/01/2019;12; December ;2019
Government;Banten; Loan ; Low ;  $2,852.00  ; $10.00 ; $350.00 ; $998,200.00 ; $19,964.00 ;  $978,236.00  ;  $741,520.00  ;  $236,716.00  ;12/01/2019;12; December ;2019
Midmarket;East Java; Loan ; Low ;  $1,925.00  ; $10.00 ; $15.00 ; $28,875.00 ; $577.50 ;  $28,297.50  ;  $19,250.00  ;  $9,047.50  ;12/01/2013;12; December ;2013
Government;East Java; Loan ; Low ;  $2,013.00  ; $10.00 ; $7.00 ; $14,091.00 ; $281.82 ;  $13,809.18  ;  $10,065.00  ;  $3,744.18  ;12/01/2013;12; December ;2013
Channel Partners;Jakarta; Loan ; Low ;  $1,055.00  ; $10.00 ; $12.00 ; $12,660.00 ; $253.20 ;  $12,406.80  ;  $3,165.00  ;  $9,241.80  ;12/01/2019;12; December ;2019
Channel Partners;Yogyakarta; Loan ; Low ;  $1,084.00  ; $10.00 ; $12.00 ; $13,008.00 ; $260.16 ;  $12,747.84  ;  $3,252.00  ;  $9,495.84  ;12/01/2019;12; December ;2019
Government;East Java; Fashion ; Low ;  $1,566.00  ; $120.00 ; $20.00 ; $31,320.00 ; $626.40 ;  $30,693.60  ;  $15,660.00  ;  $15,033.60  ;10/01/2019;10; October ;2019
Government;West Java; Fashion ; Low ;  $2,966.00  ; $120.00 ; $350.00 ; $1,038,100.00 ; $20,762.00 ;  $1,017,338.00  ;  $771,160.00  ;  $246,178.00  ;10/01/2013;10; October ;2013
Government;West Java; Fashion ; Low ;  $2,877.00  ; $120.00 ; $350.00 ; $1,006,950.00 ; $20,139.00 ;  $986,811.00  ;  $748,020.00  ;  $238,791.00  ;10/01/2019;10; October ;2019
Channel Partners;Jakarta; Fashion ; Low ;  $1,055.00  ; $120.00 ; $12.00 ; $12,660.00 ; $253.20 ;  $12,406.80  ;  $3,165.00  ;  $9,241.80  ;12/01/2019;12; December ;2019
Government;Yogyakarta; Fashion ; Low ;  $544.00  ; $120.00 ; $20.00 ; $10,880.00 ; $217.60 ;  $10,662.40  ;  $5,440.00  ;  $5,222.40  ;12/01/2013;12; December ;2013
Channel Partners;Yogyakarta; Fashion ; Low ;  $1,084.00  ; $120.00 ; $12.00 ; $13,008.00 ; $260.16 ;  $12,747.84  ;  $3,252.00  ;  $9,495.84  ;12/01/2019;12; December ;2019
Small Business;West Java; Cloud Computing ; Low ;  $214.00  ; $250.00 ; $300.00 ; $64,200.00 ; $1,284.00 ;  $62,916.00  ;  $53,500.00  ;  $9,416.00  ;10/01/2013;10; October ;2013
Government;West Java; Cloud Computing ; Low ;  $2,877.00  ; $250.00 ; $350.00 ; $1,006,950.00 ; $20,139.00 ;  $986,811.00  ;  $748,020.00  ;  $238,791.00  ;10/01/2019;10; October ;2019
Government;East Java; Cloud Computing ; Low ;  $266.00  ; $250.00 ; $350.00 ; $93,100.00 ; $1,862.00 ;  $91,238.00  ;  $69,160.00  ;  $22,078.00  ;12/01/2013;12; December ;2013
Government;Yogyakarta; Cloud Computing ; Low ;  $1,940.00  ; $250.00 ; $350.00 ; $679,000.00 ; $13,580.00 ;  $665,420.00  ;  $504,400.00  ;  $161,020.00  ;12/01/2013;12; December ;2013
Small Business;West Java; Project Management  ; Low ;  $259.00  ; $260.00 ; $300.00 ; $77,700.00 ; $1,554.00 ;  $76,146.00  ;  $64,750.00  ;  $11,396.00  ;03/01/2019;3; March ;2019
Small Business;Yogyakarta; Project Management  ; Low ;  $1,101.00  ; $260.00 ; $300.00 ; $330,300.00 ; $6,606.00 ;  $323,694.00  ;  $275,250.00  ;  $48,444.00  ;03/01/2019;3; March ;2019
Government;West Java; Project Management  ; Low ;  $2,966.00  ; $260.00 ; $350.00 ; $1,038,100.00 ; $20,762.00 ;  $1,017,338.00  ;  $771,160.00  ;  $246,178.00  ;10/01/2013;10; October ;2013
Government;East Java; Project Management  ; Low ;  $1,236.00  ; $260.00 ; $20.00 ; $24,720.00 ; $494.40 ;  $24,225.60  ;  $12,360.00  ;  $11,865.60  ;11/01/2019;11; November ;2019
Government;Jakarta; Project Management  ; Low ;  $941.00  ; $260.00 ; $20.00 ; $18,820.00 ; $376.40 ;  $18,443.60  ;  $9,410.00  ;  $9,033.60  ;11/01/2019;11; November ;2019
Small Business;Banten; Project Management  ; Low ;  $1,916.00  ; $260.00 ; $300.00 ; $574,800.00 ; $11,496.00 ;  $563,304.00  ;  $479,000.00  ;  $84,304.00  ;12/01/2019;12; December ;2019
Government;West Java; Training ; Low ;  $2,580.00  ; $3.00 ; $20.00 ; $51,600.00 ; $1,548.00 ;  $50,052.00  ;  $25,800.00  ;  $24,252.00  ;04/01/2019;4; April ;2019
Small Business;West Java; Training ; Low ;  $689.00  ; $3.00 ; $300.00 ; $206,700.00 ; $6,201.00 ;  $200,499.00  ;  $172,250.00  ;  $28,249.00  ;06/01/2019;6; June ;2019
Channel Partners;East Java; Training ; Low ;  $1,947.00  ; $3.00 ; $12.00 ; $23,364.00 ; $700.92 ;  $22,663.08  ;  $5,841.00  ;  $16,822.08  ;09/01/2019;9; September ;2019
Channel Partners;Banten; Training ; Low ;  $908.00  ; $3.00 ; $12.00 ; $10,896.00 ; $326.88 ;  $10,569.12  ;  $2,724.00  ;  $7,845.12  ;12/01/2013;12; December ;2013
Government;West Java; Education ; Low ;  $1,958.00  ; $5.00 ; $7.00 ; $13,706.00 ; $411.18 ;  $13,294.82  ;  $9,790.00  ;  $3,504.82  ;02/01/2019;2; February ;2019
Channel Partners;Jakarta; Education ; Low ;  $1,901.00  ; $5.00 ; $12.00 ; $22,812.00 ; $684.36 ;  $22,127.64  ;  $5,703.00  ;  $16,424.64  ;06/01/2019;6; June ;2019
Government;Jakarta; Education ; Low ;  $544.00  ; $5.00 ; $7.00 ; $3,808.00 ; $114.24 ;  $3,693.76  ;  $2,720.00  ;  $973.76  ;09/01/2019;9; September ;2019
Government;West Java; Education ; Low ;  $1,797.00  ; $5.00 ; $350.00 ; $628,950.00 ; $18,868.50 ;  $610,081.50  ;  $467,220.00  ;  $142,861.50  ;09/01/2013;9; September ;2013
Small Business;Jakarta; Loan ; Low ;  $2,434.50  ; $10.00 ; $300.00 ; $730,350.00 ; $21,910.50 ;  $708,439.50  ;  $608,625.00  ;  $99,814.50  ;01/01/2019;1; January ;2019
Channel Partners;Jakarta; Loan ; Low ;  $1,901.00  ; $10.00 ; $12.00 ; $22,812.00 ; $684.36 ;  $22,127.64  ;  $5,703.00  ;  $16,424.64  ;06/01/2019;6; June ;2019
Small Business;West Java; Loan ; Low ;  $689.00  ; $10.00 ; $300.00 ; $206,700.00 ; $6,201.00 ;  $200,499.00  ;  $172,250.00  ;  $28,249.00  ;06/01/2019;6; June ;2019
Channel Partners;East Java; Loan ; Low ;  $1,369.50  ; $10.00 ; $12.00 ; $16,434.00 ; $493.02 ;  $15,940.98  ;  $4,108.50  ;  $11,832.48  ;07/01/2019;7; July ;2019
Midmarket;West Java; Loan ; Low ;  $1,945.00  ; $10.00 ; $15.00 ; $29,175.00 ; $875.25 ;  $28,299.75  ;  $19,450.00  ;  $8,849.75  ;10/01/2013;10; October ;2013
Small Business;East Java; Cloud Computing ; Low ;  $2,844.00  ; $250.00 ; $300.00 ; $853,200.00 ; $25,596.00 ;  $827,604.00  ;  $711,000.00  ;  $116,604.00  ;02/01/2019;2; February ;2019
Channel Partners;Yogyakarta; Cloud Computing ; Low ;  $1,916.00  ; $250.00 ; $12.00 ; $22,992.00 ; $689.76 ;  $22,302.24  ;  $5,748.00  ;  $16,554.24  ;04/01/2019;4; April ;2019
Small Business;Banten; Cloud Computing ; Low ;  $1,874.00  ; $250.00 ; $300.00 ; $562,200.00 ; $16,866.00 ;  $545,334.00  ;  $468,500.00  ;  $76,834.00  ;08/01/2019;8; August ;2019
